,id,set,gbert-large_yes_comment
0,NDY-003_1,train,
1,NDY-003_2,train,
2,NDY-003_3,train,
3,NDY-003_4,train,
4,NDY-003_5,test,0.9923530220985413
5,NDY-003_6,train,
6,NDY-003_7,train,
7,NDY-003_8,train,
8,NDY-003_9,train,
9,NDY-003_10,train,
10,NDY-003_11,train,
11,NDY-003_12,train,
12,NDY-003_13,train,
13,NDY-003_14,test,0.025682032108306885
14,NDY-003_15,train,
15,NDY-003_16,train,
16,NDY-003_17,train,
17,NDY-003_18,train,
18,NDY-003_19,train,
19,NDY-003_20,train,
20,NDY-003_21,train,
21,NDY-003_22,train,
22,NDY-003_23,train,
23,NDY-003_24,train,
24,NDY-003_25,train,
25,NDY-003_26,train,
26,NDY-003_27,train,
27,NDY-003_28,train,
28,NDY-003_29,train,
29,NDY-003_30,train,
30,NDY-003_31,train,
31,NDY-003_32,train,
32,NDY-003_33,train,
33,NDY-003_34,train,
34,NDY-003_35,train,
35,NDY-003_36,train,
36,NDY-003_37,train,
37,NDY-003_38,train,
38,NDY-003_39,train,
39,NDY-003_40,train,
40,NDY-003_41,test,0.7269391417503357
41,NDY-003_42,train,
42,NDY-003_43,train,
43,NDY-003_44,train,
44,NDY-003_45,train,
45,NDY-003_46,train,
46,NDY-003_47,train,
47,NDY-003_48,train,
48,NDY-003_49,train,
49,NDY-003_50,train,
50,NDY-003_51,train,
51,NDY-003_52,train,
52,NDY-003_53,train,
53,NDY-003_54,train,
54,NDY-003_55,train,
55,NDY-003_56,train,
56,NDY-003_57,train,
57,NDY-003_58,train,
58,NDY-003_59,train,
59,NDY-003_60,train,
60,NDY-003_61,train,
61,NDY-003_62,test,0.0010268688201904297
62,NDY-003_63,train,
63,NDY-003_64,train,
64,NDY-003_65,train,
65,NDY-003_66,train,
66,NDY-003_67,train,
67,NDY-003_68,train,
68,NDY-003_69,train,
69,NDY-003_70,train,
70,NDY-003_71,test,0.9872854351997375
71,NDY-003_72,train,
72,NDY-003_73,train,
73,NDY-003_74,train,
74,NDY-003_75,train,
75,NDY-003_76,test,0.990578830242157
76,NDY-003_77,train,
77,NDY-003_78,train,
78,NDY-003_79,train,
79,NDY-003_80,train,
80,NDY-003_81,train,
81,NDY-003_82,train,
82,NDY-003_83,train,
83,NDY-003_84,test,0.9738315939903259
84,NDY-003_85,train,
85,NDY-003_86,train,
86,NDY-003_87,test,0.9924091100692749
87,NDY-003_88,train,
88,NDY-003_89,train,
89,NDY-003_90,train,
90,NDY-003_91,train,
91,NDY-003_92,train,
92,NDY-003_93,train,
93,NDY-003_94,train,
94,NDY-003_95,train,
95,NDY-003_96,train,
96,NDY-003_97,test,0.9738024473190308
97,NDY-003_98,train,
98,NDY-003_99,train,
99,NDY-003_100,train,
100,NDY-003_101,train,
101,NDY-003_102,train,
102,NDY-003_103,train,
103,NDY-003_104,train,
104,NDY-003_105,train,
105,NDY-003_106,train,
106,NDY-003_107,train,
107,NDY-003_108,train,
108,NDY-003_109,train,
109,NDY-003_110,train,
110,NDY-003_111,train,
111,NDY-003_112,train,
112,NDY-003_113,train,
113,NDY-003_114,train,
114,NDY-003_115,train,
115,NDY-003_116,train,
116,NDY-003_117,test,0.9722071886062622
117,NDY-003_118,train,
118,NDY-003_119,train,
119,NDY-003_120,test,0.007013380527496338
120,NDY-003_121,train,
121,NDY-003_122,train,
122,NDY-003_123,train,
123,NDY-003_124,train,
124,NDY-003_125,train,
125,NDY-003_126,train,
126,NDY-003_127,train,
127,NDY-003_128,train,
128,NDY-003_129,train,
129,NDY-003_130,train,
130,NDY-003_131,train,
131,NDY-003_132,train,
132,NDY-003_133,train,
133,NDY-003_134,train,
134,NDY-003_135,train,
135,NDY-003_136,train,
136,NDY-003_137,train,
137,NDY-003_138,train,
138,NDY-003_139,train,
139,NDY-003_140,test,0.006065547466278076
140,NDY-003_141,train,
141,NDY-003_142,train,
142,NDY-003_143,train,
143,NDY-003_144,train,
144,NDY-003_145,test,0.9826757907867432
145,NDY-003_146,train,
146,NDY-003_147,train,
147,NDY-003_148,train,
148,NDY-003_149,train,
149,NDY-003_150,train,
150,NDY-003_151,train,
151,NDY-003_152,train,
152,NDY-003_153,train,
153,NDY-003_154,train,
154,NDY-003_155,train,
155,NDY-003_156,train,
156,NDY-003_157,train,
157,NDY-003_158,train,
158,NDY-003_159,train,
159,NDY-003_160,train,
160,NDY-003_161,train,
161,NDY-003_162,train,
162,NDY-003_163,train,
163,NDY-003_164,train,
164,NDY-003_165,train,
165,NDY-003_166,test,0.991382896900177
166,NDY-003_167,train,
167,NDY-003_168,train,
168,NDY-003_169,train,
169,NDY-003_170,train,
170,NDY-003_171,train,
171,NDY-003_172,train,
172,NDY-003_173,train,
173,NDY-003_174,train,
174,NDY-003_175,train,
175,NDY-003_176,train,
176,NDY-003_177,train,
177,NDY-003_178,train,
178,NDY-003_179,train,
179,NDY-003_180,train,
180,NDY-003_181,train,
181,NDY-003_182,train,
182,NDY-003_183,train,
183,NDY-003_184,train,
184,NDY-003_185,train,
185,NDY-003_186,train,
186,NDY-003_187,test,0.005057632923126221
187,NDY-003_188,train,
188,NDY-003_189,train,
189,NDY-003_190,train,
190,NDY-003_191,train,
191,NDY-003_192,train,
192,NDY-003_193,train,
193,NDY-003_194,train,
194,NDY-003_195,train,
195,NDY-003_196,train,
196,NDY-003_197,test,0.008515894412994385
197,NDY-003_198,train,
198,NDY-003_199,train,
199,NDY-003_200,train,
200,NDY-003_201,test,0.007056057453155518
201,NDY-003_202,train,
202,NDY-003_203,train,
203,NDY-003_204,train,
204,NDY-003_205,train,
205,NDY-003_206,train,
206,NDY-003_207,train,
207,NDY-003_208,train,
208,NDY-003_209,train,
209,NDY-003_210,train,
210,NDY-003_211,test,0.008849143981933594
211,NDY-003_212,train,
212,NDY-003_213,train,
213,NDY-003_214,train,
214,NDY-003_215,train,
215,NDY-003_216,train,
216,NDY-003_217,train,
217,NDY-003_218,test,0.9786067008972168
218,NDY-003_219,train,
219,NDY-003_220,train,
220,NDY-003_221,train,
221,NDY-003_222,train,
222,NDY-003_223,train,
223,NDY-003_224,train,
224,NDY-003_225,train,
225,NDY-003_226,train,
226,NDY-003_227,train,
227,NDY-003_228,train,
228,NDY-003_229,train,
229,NDY-003_230,train,
230,NDY-003_231,train,
231,NDY-003_232,train,
232,NDY-003_233,train,
233,NDY-003_234,train,
234,NDY-003_235,train,
235,NDY-003_236,train,
236,NDY-003_237,train,
237,NDY-003_238,train,
238,NDY-003_239,train,
239,NDY-003_240,train,
240,NDY-003_241,train,
241,NDY-003_242,test,0.009948909282684326
242,NDY-003_243,train,
243,NDY-003_244,train,
244,NDY-003_245,train,
245,NDY-003_246,train,
246,NDY-003_247,train,
247,NDY-003_248,train,
248,NDY-003_249,train,
249,NDY-003_250,train,
250,NDY-003_251,train,
251,NDY-003_252,test,0.5081436634063721
