gbert-large_yes_comment,bert-base-german-cased_yes_comment,bert-base-german-cased_yes_spelling_corrected,gbert-large_yes_spelling_corrected,roberta-large_yes_translated,sentiment_orig,sentiment_spelling_corrected,sentiment_translated,sentiment_anger,sentiment_disgust,sentiment_fear,sentiment_joy,sentiment_neutral,sentiment_sadness,sentiment_surprise,flausch_words,flausch_tokens,flausch_ratio,flausch_emoticons,flausch_emojis,extra_chars,all_caps,precision,recall,f1-score
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914691943127962,0.9368932038834952,0.9256594724220624
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916256157635468,0.9029126213592232,0.9095354523227384
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8878048780487805,0.883495145631068,0.8856447688564478
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8815165876777251,0.9029126213592232,0.8920863309352518
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.8737864077669902,0.8866995073891626
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,0.9077669902912622,0.9257425742574256
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9393939393939394,0.9029126213592232,0.9207920792079208
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.9396984924623116,0.9077669902912622,0.9234567901234568
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.9396984924623116,0.9077669902912622,0.9234567901234568
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7852760736196319,0.6213592233009708,0.6937669376693766
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9362745098039216,0.9271844660194176,0.9317073170731708
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0.9362745098039216,0.9271844660194176,0.9317073170731708
1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9198113207547168,0.9466019417475728,0.9330143540669856
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7037037037037037,0.5533980582524272,0.6195652173913044
0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.6904761904761905,0.4223300970873786,0.5240963855421686
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.7535211267605634,0.5194174757281553,0.6149425287356322
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.7625,0.5922330097087378,0.6666666666666666
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0.7707006369426752,0.587378640776699,0.6666666666666666
0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.7763157894736842,0.5728155339805825,0.6592178770949719
1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.924170616113744,0.9466019417475728,0.9352517985611511
1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.931372549019608,0.9223300970873788,0.9268292682926828
1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.9285714285714286,0.9466019417475728,0.9375
1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.931372549019608,0.9223300970873788,0.9268292682926828
1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.9285714285714286,0.9466019417475728,0.9375
1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.9282296650717704,0.941747572815534,0.9349397590361446
1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.923809523809524,0.941747572815534,0.9326923076923078
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0.9285714285714286,0.9466019417475728,0.9375
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0.9285714285714286,0.9466019417475728,0.9375
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.924170616113744,0.9466019417475728,0.9352517985611511
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0.923809523809524,0.941747572815534,0.9326923076923078
1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0.919431279620853,0.941747572815534,0.9304556354916067
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.9306930693069307,0.912621359223301,0.9215686274509804
0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.8064516129032258,0.6067961165048543,0.6925207756232686
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.7446808510638298,0.5097087378640777,0.6051873198847262
