"document","comment_id","type","start","end"
"NDY-003","5","positive feedback","0","18"
"NDY-003","41","positive feedback","17","58"
"NDY-003","71","affection declaration","0","17"
"NDY-003","76","affection declaration","24","59"
"NDY-003","76","group membership","60","86"
"NDY-003","76","positive feedback","135","173"
"NDY-003","76","affection declaration","176","204"
"NDY-003","76","positive feedback","209","248"
"NDY-003","76","positive feedback","251","286"
"NDY-003","76","affection declaration","342","353"
"NDY-003","84","positive feedback","58","79"
"NDY-003","87","positive feedback","0","7"
"NDY-003","97","encouragement","0","67"
"NDY-003","117","compliment","74","86"
"NDY-003","145","compliment","0","18"
"NDY-003","145","positive feedback","194","267"
"NDY-003","166","affection declaration","0","15"
"NDY-003","218","positive feedback","12","57"
"NDY-003","218","positive feedback","58","86"
"NDY-003","252","affection declaration","0","37"
"NDY-003","267","compliment","0","40"
"NDY-003","267","positive feedback","43","63"
"NDY-003","280","positive feedback","0","13"
"NDY-003","309","compliment","14","50"
"NDY-003","345","affection declaration","0","13"
"NDY-003","345","positive feedback","16","91"
"NDY-003","345","encouragement","92","101"
"NDY-003","362","positive feedback","0","8"
"NDY-003","362","compliment","9","27"
"NDY-003","375","positive feedback","0","21"
"NDY-003","375","compliment","22","31"
"NDY-003","378","positive feedback","0","18"
"NDY-003","397","positive feedback","0","32"
"NDY-003","397","compliment","33","61"
"NDY-003","397","encouragement","173","254"
"NDY-003","442","positive feedback","114","136"
"NDY-003","458","encouragement","158","209"
"NDY-003","481","compliment","16","33"
"NDY-003","500","compliment","0","42"
"NDY-003","502","ambiguous","0","18"
"NDY-003","517","ambiguous","0","7"
"NDY-003","518","affection declaration","0","21"
"NDY-003","533","affection declaration","0","22"
"NDY-003","533","positive feedback","23","42"
"NDY-003","533","encouragement","43","60"
"NDY-003","586","positive feedback","0","31"
"NDY-003","586","affection declaration","32","65"
"NDY-003","609","ambiguous","0","19"
"NDY-003","698","compliment","0","28"
"NDY-003","735","compliment","41","64"
"NDY-003","735","encouragement","65","87"
"NDY-003","735","encouragement","88","121"
"NDY-003","777","positive feedback","0","24"
"NDY-003","854","affection declaration","5","42"
"NDY-003","880","affection declaration","40","75"
"NDY-003","897","encouragement","165","190"
