phrase,label
wie wunderschön du in diesem video bist 3,compliment
och herm . ich hätte beinahe angefangen zu weinen : 'X,ambiguous
geil,positive feedback
Concrafter bei den Lochis O_o WTF,not
Aber die Parodie ist schon geil,positive feedback
Ich finde dich echt Sympatisch ;),affection declaration
...,not
Bist echt mutig als Junge solche Videos zu machen :),compliment
...,not
Viel Erfolg,encouragement
... lG Alexandra,not
MEHR BOYS VS GIRLS VIDEOS ! 😍,encouragement
ABER DAS NACHSTE MAL GIRLS VS BOYS !!!! 😈 ☺,not
👍,positive feedback
abgesehen von dem halbnackt outfit,not
fand ich das video ganz schön gemacht,positive feedback
und,not
vor allem die message in der infobox ist super,positive feedback
Super tolle Videoidee von dir !,positive feedback
Hat mir richtig gut gefallen :),positive feedback
ihr seit so cool 😍 😌,affection declaration
Mega cool :),positive feedback
leute es gibt leute die machen das sau schlecht und es heißt nur wow weil die gut aussehen und,not
die beiden jungs sind ja nicht gerade hesslich für siebtklässler,implicit
und,not
machen das meiner meinung nach recht gut,compliment
sowas macht auch voll viel arbeit,implicit
und wenn ihr schon rummotzt macht das doch besser !!!!! xD,not
Einfach nur göttlich ^^,positive feedback
ihr seid so cool,affection declaration
Die lochis sind die besten,affection declaration
@kimricht66 Siest du es auch grade ? Lol !,not
War geil ;),positive feedback
Mach noch mehr 😀,encouragement
Echt schön gemacht,positive feedback
. schade . der Anfang ist diebischen zu tief 😬 😁,not
aber sonst echt voll krass 😅 😇,positive feedback
Ihr seid die besten,affection declaration
ich kann dieses lied jetzt shon auswendig,positive feedback
ich liebe euch -3 - 3,affection declaration
Endlich ein neues Video,positive feedback
Ja !!!,agreement
die besten auf der Welt !,affection declaration
collllllllll 😎,positive feedback
Marcel wie auch immer du heist was labberst du das richtiq ich bin engländerin also labba ma keinen scheiß !!,not
ihr seid klasse leutee 3,affection declaration
ich kann mich meinen Vorrednern nur anschließen * - *,agreement
richtig nice,positive feedback
gutes Video,positive feedback
+ Julia Hönig-Schletter,not
und sie sind drotzdem voll süß,affection declaration
Ihr seid die besten DieLochis ★ ★ ★,affection declaration
wieso seid ihr soo toll ?,implicit
Ihr könnt voll gut singen,compliment
Mir gefällt das lied zwar nicht aber,not
ich muss zu geben ein paar lieder hören sich toll an ;P,positive feedback
😆,ambiguous
"Make up + hair Tutorial wäre schön , zu dem Look",not
❤,positive feedback
😎 👍🏼 😅,positive feedback
Ich hab diese parodie früher geliebt haha ❤,positive feedback
"Zeigt ihr , dass ihr sie schätzen TUT Samiiiiiiiiiiiiiiiiiiiiii -",not
Du bist definitiv der megamillionenoberlustigste Typ auf der ganzen Welt :o),affection declaration
"Aaaber : Du meinst das ja letztendlich alles wirklich , was Du da sagst und mal ehrlich : Wer Dich nicht heiraten willl , ist bekloppt ;o)",not
5 * * * * * * knuuutsch *,positive feedback
Bist jetzt das geilste Lied von euch,positive feedback
Kraaaasss deine stimme is mal der Hammer ♡ ♡ ♡ ♥ ♥ ♥,compliment
heiko nichts gegen dich aber roman ist besser trotzdem,not
beide cool,affection declaration
"und jez sind es , nach knapp 5 Jahren , 1.000.000 Abonennten 😭 🙈 💕 🎉 🙊 🙈 😭 😭 😭 😭 😭 😭 😭",positive feedback
Wir finden es cool wenn ihr zusammen singt :D,positive feedback
Mega lied,positive feedback
hat einer von euch keine freundin,not
weil ihr beide voll süß seit,affection declaration
der Look steht dir foll und das Make Up das steht dir auch und mit der Mütze ^^,compliment
alles top steht dir :)) ♥,compliment
Sehr cool !,positive feedback
