document,comment_id,type,start,end,comment,flausch,translated,id
NDY-003,1,compliment,0,11,Respekt : o zu mir passt das heut vollkommen :( Aber Respekt an euch ;),yes,Respect : o to me this fits perfectly today :( But respect for you ;),NDY-003_1
NDY-003,1,compliment,48,71,Respekt : o zu mir passt das heut vollkommen :( Aber Respekt an euch ;),yes,Respect : o to me this fits perfectly today :( But respect for you ;),NDY-003_1
NDY-003,2,positive feedback,0,12,haha geil :D aber ich hab mich am anfang etwas erschreckt :D,yes,haha horny :D but I got a little scared at the beginning :D,NDY-003_2
NDY-003,3,positive feedback,0,31,würd gern mit euch tanzen * - * haha,yes,Would like to dance with you * - * haha,NDY-003_3
NDY-003,4,positive feedback,0,23,Einfach nur wieder geil ... ich mag eure texte voll und eure stimmen .... sind voll die ohrwürmer =D Daumen hoch =),yes,Just horny again ... I like your texts full and yours are right .... are full of earworms =D thumbs up =),NDY-003_4
NDY-003,4,compliment,28,68,Einfach nur wieder geil ... ich mag eure texte voll und eure stimmen .... sind voll die ohrwürmer =D Daumen hoch =),yes,Just horny again ... I like your texts full and yours are right .... are full of earworms =D thumbs up =),NDY-003_4
NDY-003,4,positive feedback,74,100,Einfach nur wieder geil ... ich mag eure texte voll und eure stimmen .... sind voll die ohrwürmer =D Daumen hoch =),yes,Just horny again ... I like your texts full and yours are right .... are full of earworms =D thumbs up =),NDY-003_4
NDY-003,4,positive feedback,101,115,Einfach nur wieder geil ... ich mag eure texte voll und eure stimmen .... sind voll die ohrwürmer =D Daumen hoch =),yes,Just horny again ... I like your texts full and yours are right .... are full of earworms =D thumbs up =),NDY-003_4
NDY-003,7,affection declaration,11,45,"@DieLochis ich finde roman zwar coool und süß . aber Das Katzenklo2 hat recht , heiko behält wirklich mehr kontakt zu den fans , als roman :)",yes,"@TheLochis I find novel although coool and sweet. but the Katzenklo2 is right, heiko really keeps more contact to the fans, than roman :)",NDY-003_7
NDY-003,8,positive feedback,0,24,Oh wie Gel jungs hamma .,yes,"Oh, like gel guys hammam.",NDY-003_8
NDY-003,10,positive feedback,0,22,Gehts noch Geiler ???? ich glaub nicht soooo Geil OMG * ___ * ( Y ) ♥,yes,Are you still horny ???? I don't think soooo horny OMG * ___ * ( Y ) ♥,NDY-003_10
NDY-003,10,positive feedback,23,69,Gehts noch Geiler ???? ich glaub nicht soooo Geil OMG * ___ * ( Y ) ♥,yes,Are you still horny ???? I don't think soooo horny OMG * ___ * ( Y ) ♥,NDY-003_10
NDY-003,12,positive feedback,0,21,Mein lieblingslied :D,yes,My favorite song :D,NDY-003_12
NDY-003,13,positive feedback,0,16,Echt geiles Lied muss ich sagen habt ihr echt gut gemacht und heiko kannst du mir bitte zurück schreiben das wäre echt nett .,yes,Really horny song I have to say you did really well and heiko can you write me back please that would be really nice.,NDY-003_13
NDY-003,13,compliment,32,57,Echt geiles Lied muss ich sagen habt ihr echt gut gemacht und heiko kannst du mir bitte zurück schreiben das wäre echt nett .,yes,Really horny song I have to say you did really well and heiko can you write me back please that would be really nice.,NDY-003_13
NDY-003,15,compliment,0,38,"Jungs , ihr werdet immer noch besser ! Bleibt dran !",yes,"Guys, you're still getting better!",NDY-003_15
NDY-003,15,encouragement,39,52,"Jungs , ihr werdet immer noch besser ! Bleibt dran !",yes,"Guys, you're still getting better!",NDY-003_15
NDY-003,16,positive feedback,0,20,okay kanns auswendig,yes,okay can memorize,NDY-003_16
NDY-003,17,implicit,0,94,Zum Glück ist der Replay Button Kostenlos ;) Sonst währe ich schon lange in Großen Schulden ^^ Hammer Jungs | DieLochis Ever,yes,"Luckily, the Replay Button is Free ;) Otherwise I've been in big debt for a long time ^^ Hammer guys ] DieLochis Ever",NDY-003_17
NDY-003,17,compliment,95,107,Zum Glück ist der Replay Button Kostenlos ;) Sonst währe ich schon lange in Großen Schulden ^^ Hammer Jungs | DieLochis Ever,yes,"Luckily, the Replay Button is Free ;) Otherwise I've been in big debt for a long time ^^ Hammer guys ] DieLochis Ever",NDY-003_17
NDY-003,18,positive feedback,0,31,Das ist das beste lied von euch . Weiter so daumen hoch :) ;),yes,This is the best song of you. Continue so daumen up :) ;),NDY-003_18
NDY-003,18,encouragement,34,61,Das ist das beste lied von euch . Weiter so daumen hoch :) ;),yes,This is the best song of you. Continue so daumen up :) ;),NDY-003_18
NDY-003,19,positive feedback,0,35,wieder einmal richtig geil geworden,yes,Once again got really horny,NDY-003_19
NDY-003,20,compliment,35,66,@Lpboy343 warum sind das spasten ? die stecken viel arbeit da rein,yes,@Lpboy343 why are these spades? the put a lot of work in there,NDY-003_20
NDY-003,21,positive feedback,0,21,gänsehaut schon 2 mal,yes,Geese skin 2 times already,NDY-003_21
NDY-003,24,positive feedback,17,44,"@Der1999Ottifant Aber Trotzdem Cooles Video- , , -",yes,"@Der1999Ottifant But Still Cool Video , , -",NDY-003_24
NDY-003,25,positive feedback,0,8,supiiiii,yes,Supiiiii,NDY-003_25
NDY-003,28,compliment,0,79,muss man euch schon mal loben weil in dem alter schon so was machen sehr gut :D macht so weiter,yes,you have to praise you already because in the old one already do such a thing very good :D continues so,NDY-003_28
NDY-003,28,encouragement,80,95,muss man euch schon mal loben weil in dem alter schon so was machen sehr gut :D macht so weiter,yes,you have to praise you already because in the old one already do such a thing very good :D continues so,NDY-003_28
NDY-003,29,positive feedback,0,33,"ohaaa :D dieses Lied ist HAMMER ♥ nach einem mal anhören , konnte ich ( wir ) schon den Refrain ;) das Lied ist der Hit Leute ;) und endlich ist es da ♥",yes,"ohaaa:D this song is HAMMER ♥ after one time listening, I could (we) already the chorus ;) the song is the hit people ;) and finally it is there ♥",NDY-003_29
NDY-003,29,implicit,34,98,"ohaaa :D dieses Lied ist HAMMER ♥ nach einem mal anhören , konnte ich ( wir ) schon den Refrain ;) das Lied ist der Hit Leute ;) und endlich ist es da ♥",yes,"ohaaa:D this song is HAMMER ♥ after one time listening, I could (we) already the chorus ;) the song is the hit people ;) and finally it is there ♥",NDY-003_29
NDY-003,29,positive feedback,99,152,"ohaaa :D dieses Lied ist HAMMER ♥ nach einem mal anhören , konnte ich ( wir ) schon den Refrain ;) das Lied ist der Hit Leute ;) und endlich ist es da ♥",yes,"ohaaa:D this song is HAMMER ♥ after one time listening, I could (we) already the chorus ;) the song is the hit people ;) and finally it is there ♥",NDY-003_29
NDY-003,30,positive feedback,0,9,Nice nice,yes,Nice nice,NDY-003_30
NDY-003,31,compliment,0,7,"Respekt , echt gut :D nur am Gesang könntet ihr noch üben ...",yes,"Respect , really good :D only at singing you could still practice ...",NDY-003_31
NDY-003,31,positive feedback,10,21,"Respekt , echt gut :D nur am Gesang könntet ihr noch üben ...",yes,"Respect , really good :D only at singing you could still practice ...",NDY-003_31
NDY-003,32,positive feedback,0,34,ich finds gar nicht so schlecht :),yes,I don't think it's so bad :),NDY-003_32
NDY-003,33,positive feedback,0,74,Wiie alle anderen Viideo's von euch : Hammergeiil & super qesungen ;-DD <3,yes,Wiie all the other viideo's of you : Hammergeiil & super qesungen ;-DD <3,NDY-003_33
NDY-003,33,compliment,0,74,Wiie alle anderen Viideo's von euch : Hammergeiil & super qesungen ;-DD <3,yes,Wiie all the other viideo's of you : Hammergeiil & super qesungen ;-DD <3,NDY-003_33
NDY-003,34,positive feedback,0,30,ich mags dass ihr videos macht aber ich finde dass ihr nicht so gut singen könnt macht mal was ohne singen :),yes,I like that you do videos but I don't think you can sing so well do something without singing :),NDY-003_34
NDY-003,36,positive feedback,0,22,"das Lied ist so cool ♥ wir hören das schon den GANZEN tag ♥ ♥ ♥ ♥ Ihr seid echt die besten , Jungs :D und ihr könnt singen , hört nicht auf die die sagen ihr könnt nicht singen !! ;) Lieben Euch 33",yes,"the song is so cool ♥ we hear that already the whole day ♥ ♥ ♥ ♥ You are really the best , guys :D and you can sing , don't listen to those who say you can't sing !! ;) Love you 33",NDY-003_36
NDY-003,36,positive feedback,23,65,"das Lied ist so cool ♥ wir hören das schon den GANZEN tag ♥ ♥ ♥ ♥ Ihr seid echt die besten , Jungs :D und ihr könnt singen , hört nicht auf die die sagen ihr könnt nicht singen !! ;) Lieben Euch 33",yes,"the song is so cool ♥ we hear that already the whole day ♥ ♥ ♥ ♥ You are really the best , guys :D and you can sing , don't listen to those who say you can't sing !! ;) Love you 33",NDY-003_36
NDY-003,36,affection declaration,66,101,"das Lied ist so cool ♥ wir hören das schon den GANZEN tag ♥ ♥ ♥ ♥ Ihr seid echt die besten , Jungs :D und ihr könnt singen , hört nicht auf die die sagen ihr könnt nicht singen !! ;) Lieben Euch 33",yes,"the song is so cool ♥ we hear that already the whole day ♥ ♥ ♥ ♥ You are really the best , guys :D and you can sing , don't listen to those who say you can't sing !! ;) Love you 33",NDY-003_36
